四川电信-组播1,#genre#
湖北精彩影视,http://www.zhms.tk:5050/udp/239.94.1.172:5140
湖北快乐垂钓,http://www.zhms.tk:5050/udp/239.94.1.153:5140
湖南金鹰纪实,http://www.zhms.tk:5050/udp/239.94.1.1:5140
湖南金鹰卡通,http://www.zhms.tk:5050/udp/239.94.1.30:5140
广东嘉佳卡通,http://www.zhms.tk:5050/udp/239.94.1.10:5140
贵州天元围棋,http://www.zhms.tk:5050/udp/239.94.1.152:5140
精彩推荐,http://www.zhms.tk:5050/udp/239.94.2.10:5140

成都-1综合,http://www.zhms.tk:5050/udp/239.94.0.154:5140
成都-2经济,http://www.zhms.tk:5050/udp/239.94.0.155:5140
成都-3生活,http://www.zhms.tk:5050/udp/239.94.0.156:5140
成都-4影视,http://www.zhms.tk:5050/udp/239.94.0.157:5140
成都-5公共,http://www.zhms.tk:5050/udp/239.94.0.158:5140
成都-6少儿,http://www.zhms.tk:5050/udp/239.94.0.159:5140
成都-8每日购物,http://www.zhms.tk:5050/udp/239.94.0.160:5140
自贡文化生活,http://www.zhms.tk:5050/udp/239.94.0.178:5140
自贡综合,http://www.zhms.tk:5050/udp/239.94.0.169:5140
攀枝花新闻综合,http://www.zhms.tk:5050/udp/239.94.0.168:5140
泸州新闻综合,http://www.zhms.tk:5050/udp/239.94.0.163:5140
泸州科教生活,http://www.zhms.tk:5050/udp/239.94.0.182:5140
德阳文旅科教,http://www.zhms.tk:5050/udp/239.94.0.165:5140
德阳新闻综合,http://www.zhms.tk:5050/udp/239.94.0.176:5140
广元文化生活,http://www.zhms.tk:5050/udp/239.94.0.179:5140
广元综合,http://www.zhms.tk:5050/udp/239.94.0.167:5140
内江科教生活,http://www.zhms.tk:5050/udp/239.94.0.181:5140
内江综合,http://www.zhms.tk:5050/udp/239.94.0.164:5140
乐山文旅生活,http://www.zhms.tk:5050/udp/239.94.0.173:5140
乐山新闻综合,http://www.zhms.tk:5050/udp/239.94.0.162:5140
眉山文旅乡村,http://www.zhms.tk:5050/udp/239.94.0.174:5140
眉山综合,http://www.zhms.tk:5050/udp/239.94.0.170:5140
宜宾公共频道,http://www.zhms.tk:5050/udp/239.94.0.172:5140
宜宾新闻综合,http://www.zhms.tk:5050/udp/239.94.0.161:5140
雅安文化生活,http://www.zhms.tk:5050/udp/239.94.0.180:5140
雅安新闻综合,http://www.zhms.tk:5050/udp/239.94.0.166:5140
资阳新闻综合,http://www.zhms.tk:5050/udp/239.94.0.183:5140
凉山彝语综合,http://www.zhms.tk:5050/udp/239.94.0.175:5140
凉山新闻综合,http://www.zhms.tk:5050/udp/239.94.0.171:5140

1-14（数字电视）,http://www.zhms.tk:5050/udp/239.94.1.14:5140
4K乐享超清,http://www.zhms.tk:5050/udp/239.94.1.162:5140
4K少儿,http://www.zhms.tk:5050/udp/239.94.1.70:5140
4K纪实,http://www.zhms.tk:5050/udp/239.94.1.69:5140
4K视界,http://www.zhms.tk:5050/udp/239.94.1.60:5140
bestv,http://www.zhms.tk:5050/udp/239.94.2.57:5140
i乐山,http://www.zhms.tk:5050/udp/239.94.2.2:5140
i成都,http://www.zhms.tk:5050/udp/239.94.2.1:5140
云看熊猫,http://www.zhms.tk:5050/udp/239.94.1.7:5140
亲子趣学4k,http://www.zhms.tk:5050/udp/239.94.1.156:5140
健康养生,http://www.zhms.tk:5050/udp/239.94.1.27:5140
全球大片,http://www.zhms.tk:5050/udp/239.94.1.24:5140
军事,http://www.zhms.tk:5050/udp/239.94.1.52:5140
华语影院,http://www.zhms.tk:5050/udp/239.94.1.22:5140
地理,http://www.zhms.tk:5050/udp/239.94.1.54:5140
墨宝,http://www.zhms.tk:5050/udp/239.94.1.51:5140
大爱四川,http://www.zhms.tk:5050/udp/239.94.1.12:5140
宝宝动画,http://www.zhms.tk:5050/udp/239.94.1.32:5140
导视,http://www.zhms.tk:5050/udp/239.94.1.55:5140
少儿天地,http://www.zhms.tk:5050/udp/239.94.1.138:5140
峨眉电影,http://www.zhms.tk:5050/udp/239.94.0.103:5140
峨眉电影,http://www.zhms.tk:5050/udp/239.94.2.209:5140
戏曲精选,http://www.zhms.tk:5050/udp/239.94.1.37:5140
收视指南,http://www.zhms.tk:5050/udp/239.94.1.56:5140
星光院线,http://www.zhms.tk:5050/udp/239.94.1.23:5140
来钓鱼吧,http://www.zhms.tk:5050/udp/239.94.1.148:5140
求索,http://www.zhms.tk:5050/udp/239.94.1.142:5140
热门剧场,http://www.zhms.tk:5050/udp/239.94.1.26:5140
热门综艺,http://www.zhms.tk:5050/udp/239.94.1.35:5140
熊猫体娱,http://www.zhms.tk:5050/udp/239.94.1.4:5140
熊猫少儿,http://www.zhms.tk:5050/udp/239.94.1.5:5140
熊猫影院,http://www.zhms.tk:5050/udp/239.94.1.6:5140
熊猫新闻,http://www.zhms.tk:5050/udp/239.94.1.3:5140
熊猫爱生活,http://www.zhms.tk:5050/udp/239.94.1.11:5140
百变课堂,http://www.zhms.tk:5050/udp/239.94.1.43:5140
直播室1,http://www.zhms.tk:5050/udp/239.94.2.11:5140
直播室2,http://www.zhms.tk:5050/udp/239.94.2.12:5140
直播室3,http://www.zhms.tk:5050/udp/239.94.2.13:5140
直播室4,http://www.zhms.tk:5050/udp/239.94.2.14:5140
直播室5,http://www.zhms.tk:5050/udp/239.94.2.15:5140
直播室6,http://www.zhms.tk:5050/udp/239.94.2.16:5140
直播室7,http://www.zhms.tk:5050/udp/239.94.2.17:5140
直播室8,http://www.zhms.tk:5050/udp/239.94.2.18:5140
看天下精选,http://www.zhms.tk:5050/udp/239.94.1.68:5140
精彩导视,http://www.zhms.tk:5050/udp/239.94.1.63:5140
红色影院,http://www.zhms.tk:5050/udp/239.94.1.48:5140
经典剧场,http://www.zhms.tk:5050/udp/239.94.1.49:5140
绚影4K,http://www.zhms.tk:5050/udp/239.94.1.150:5140
综艺咖秀,http://www.zhms.tk:5050/udp/239.94.2.27:5140
综艺咖秀,http://www.zhms.tk:5050/udp/239.94.2.28:5140
蓉城先锋,http://www.zhms.tk:5050/udp/239.94.1.57:5140
解密,http://www.zhms.tk:5050/udp/239.94.1.53:5140
金熊猫卡通,http://www.zhms.tk:5050/udp/239.94.1.8:5140
青春动漫,http://www.zhms.tk:5050/udp/239.94.1.34:5140
音乐现场,http://www.zhms.tk:5050/udp/239.94.1.36:5140
麻辣体育,http://www.zhms.tk:5050/udp/239.94.1.149:5140

四川电信-组播3,#genre#
四川卫视4K,http://171.213.149.236:4022/udp/239.94.0.115:5140
四川卫视,http://171.213.149.236:4022/udp/239.94.0.59:5140
四川卫视,http://171.213.149.236:4022/udp/239.94.0.60:5140

四川乡村,http://171.213.149.236:4022/udp/239.94.0.77:5140
四川妇儿,http://171.213.149.236:4022/udp/239.94.0.75:5140
四川影视文艺,http://171.213.149.236:4022/udp/239.94.0.73:5140
四川文化旅游,http://171.213.149.236:4022/udp/239.94.0.71:5140
四川新闻,http://171.213.149.236:4022/udp/239.94.0.72:5140
四川星空购物,http://171.213.149.236:4022/udp/239.94.0.74:5140
